region_id,region_name,YCI,YCI_v2,delta_yci,yci_grade,yci_v2_grade
4723031000,청통면,83.73169286315411,73.60777309192537,-10.123919771228742,양호,우수
4723025000,금호읍,76.27114988021725,73.55417712290648,-2.7169727573107707,보통,우수
4723032000,신녕면,68.44825838273871,66.91790593763564,-1.5303524451030768,보통,우수
4723033000,화산면,61.200305689952245,57.293917812475804,-3.9063878774764405,보통,양호
4723040000,대창면,50.11959249251666,48.201029688578544,-1.9185628039381157,취약,양호
4723053500,서부동,48.296057697084336,47.10676011666484,-1.189297580419499,취약,보통
4723037000,임고면,45.408060174371045,49.020259572622166,3.6121993982511214,취약,양호
4723051000,동부동,42.27604482531312,45.108492620565016,2.8324477952518947,취약,보통
4723035000,화남면,40.09956262679574,39.6593349736586,-0.44022765313713563,취약,주의
4723052000,중앙동,39.56764945975053,42.1298428340522,2.562193374301671,우선개선,보통
4723054000,완산동,39.241299169122286,36.96393012981264,-2.2773690393096473,우선개선,주의
4723038000,고경면,35.114319733372184,36.224330263361026,1.1100105299888412,우선개선,주의
4723039000,북안면,33.59616562142003,34.20511891319002,0.6089532917699927,우선개선,취약
4723036000,자양면,27.328648648648645,30.004312480339724,2.675663831691079,우선개선,취약
4723055500,남부동,25.545808804711015,28.48872450795048,2.942915703239464,우선개선,취약
4723034000,화북면,25.30365205558157,25.303652055581566,-3.552713678800501e-15,우선개선,취약
