region_id,region_name,S,T,A,T_sup_transfer_burden_z,A_sup_service_activity_z,w_sup,S_v2,T_v2,A_v2,YCI,YCI_v2,delta_yci
4723031000,청통면,74.94769389472603,100.0,70.0,54.8324901354829,7.282418833510854,0.3,74.94769389472603,86.44974704064487,51.18472565005325,83.73169286315411,73.60777309192537,-10.123919771228742
4723025000,금호읍,53.631856800620746,100.0,70.0,35.674815586480534,67.2688567190481,0.10286552838024922,53.631856800620746,93.38315591714635,69.71905950332271,76.27114988021725,73.55417712290648,-2.7169727573107707
4723032000,신녕면,39.2904943339573,76.34146341463415,96.64,84.63240090152239,2.922875582760778,0.07608808179023384,39.2904943339573,76.97230494425422,89.50924377219557,68.44825838273871,66.91790593763564,-1.5303524451030768
4723033000,화산면,38.18716840567076,59.1869918699187,96.64,54.73530711426252,0.0,0.15058929818842268,38.18716840567076,58.51661578680833,82.08705022307083,61.200305689952245,57.293917812475804,-3.9063878774764405
4723040000,대창면,49.330310721940755,65.9349593495935,25.92,0.1548663436373522,53.13207763805714,0.09834235758601245,49.330310721940755,59.4659899211606,28.59609986974015,50.11959249251666,48.201029688578544,-1.9185628039381157
4723053500,서부동,24.05052489526998,83.4959349593496,25.92,57.41439537098213,46.609455407608,0.22609137055837564,24.05052489526998,77.59912392754306,30.59770732921249,48.296057697084336,47.10676011666484,-1.189297580419499
4723037000,임고면,52.280868790885904,49.02439024390244,30.0,100.0,76.90052042357125,0.11247570703408268,52.280868790885904,54.75790799271299,35.27516919490761,45.408060174371045,49.020259572622166,3.6121993982511214
4723051000,동부동,15.027027027027028,76.34146341463415,25.92,55.619481280759665,100.0,0.2768439495660717,15.027027027027028,70.60470803785476,46.428599783854594,42.27604482531312,45.108492620565016,2.8324477952518947
4723035000,화남면,39.30769345170441,47.47967479674797,29.4,0.0,71.7053574074865,0.052311336717428124,39.30769345170441,44.9959495412213,31.613049796294167,40.09956262679574,39.6593349736586,-0.44022765313713563
4723052000,중앙동,19.92522377582613,65.28455284552845,25.92,80.63088100686275,64.3245256849461,0.16278578680203046,19.92522377582613,67.78271694979341,32.17171093038274,39.56764945975053,42.1298428340522,2.562193374301671
4723054000,완산동,10.816255465784923,72.4390243902439,25.92,51.64414960341783,16.011395470349875,0.21096319796954316,10.816255465784923,68.05207110383884,23.829649101009508,39.241299169122286,36.96393012981264,-2.2773690393096473
4723038000,고경면,57.341726532050615,18.86178861788618,30.0,86.69621843019057,79.17794980522329,0.02815266378860477,57.341726532050615,20.771508513683695,31.38449028667933,35.114319733372184,36.224330263361026,1.1100105299888412
4723039000,북안면,42.597639290003805,27.96747967479675,30.0,74.41255666922713,86.50990350322655,0.018619289340101562,42.597639290003805,28.832254001779344,31.052174243907793,33.59616562142003,34.20511891319002,0.6089532917699927
4723036000,자양면,59.567567567567565,0.0,25.92,95.50977219713326,27.16526422211205,0.06947028963869815,59.567567567567565,6.635091537860927,26.00650886618683,27.328648648648645,30.004312480339724,2.675663831691079
4723055500,남부동,32.56990668941823,35.36585365853659,0.0,37.58104666622633,51.50574291906502,0.21383563580286574,32.56990668941823,35.83954086376199,11.01376328459722,25.545808804711015,28.48872450795048,2.942915703239464
4723034000,화북면,38.83110807982655,11.056910569105693,29.16,88.91101471880876,93.43271245343092,0.0,38.83110807982655,11.056910569105693,29.16,25.30365205558157,25.303652055581566,-3.552713678800501e-15
