region_id,region_name,population,S_v2,T_v2,A_v2,YCI_v2,yci_v2_grade,YCI,yci_grade,delta_yci,w_sup,supplement_data_quality
4723031000,청통면,3603,74.94769389472603,86.44974704064487,51.18472565005325,73.60777309192537,우수,83.73169286315411,양호,-10.123919771228742,0.3,0.4351145038167939
4723025000,금호읍,9303,53.631856800620746,93.38315591714635,69.71905950332271,73.55417712290648,우수,76.27114988021725,보통,-2.7169727573107707,0.10286552838024922,0.1636363636363636
4723032000,신녕면,3178,39.2904943339573,76.97230494425422,89.50924377219557,66.91790593763564,우수,68.44825838273871,보통,-1.5303524451030768,0.07608808179023384,0.1267605633802817
4723033000,화산면,2790,38.18716840567076,58.51661578680833,82.08705022307083,57.293917812475804,양호,61.200305689952245,보통,-3.9063878774764405,0.15058929818842268,0.2293577981651376
4723040000,대창면,2756,49.330310721940755,59.4659899211606,28.59609986974015,48.201029688578544,양호,50.11959249251666,취약,-1.9185628039381157,0.09834235758601245,0.1574074074074074
4723053500,서부동,3929,24.05052489526998,77.59912392754306,30.59770732921249,47.10676011666484,보통,48.296057697084336,취약,-1.189297580419499,0.22609137055837564,0.3333333333333333
4723037000,임고면,3772,52.280868790885904,54.75790799271299,35.27516919490761,49.020259572622166,양호,45.408060174371045,취약,3.6121993982511214,0.11247570703408268,0.1768707482993197
4723051000,동부동,21729,15.027027027027028,70.60470803785476,46.428599783854594,45.108492620565016,보통,42.27604482531312,취약,2.8324477952518947,0.2768439495660717,0.4032258064516129
4723035000,화남면,2921,39.30769345170441,44.9959495412213,31.613049796294167,39.6593349736586,주의,40.09956262679574,취약,-0.44022765313713563,0.052311336717428124,0.094017094017094
4723052000,중앙동,7361,19.92522377582613,67.78271694979341,32.17171093038274,42.1298428340522,보통,39.56764945975053,우선개선,2.562193374301671,0.16278578680203046,0.2461538461538461
4723054000,완산동,8062,10.816255465784923,68.05207110383884,23.829649101009508,36.96393012981264,주의,39.241299169122286,우선개선,-2.2773690393096473,0.21096319796954316,0.3125
4723038000,고경면,4971,57.341726532050615,20.771508513683695,31.38449028667933,36.224330263361026,주의,35.114319733372184,우선개선,1.1100105299888412,0.02815266378860477,0.0607476635514018
4723039000,북안면,3976,42.597639290003805,28.832254001779344,31.052174243907793,34.20511891319002,취약,33.59616562142003,우선개선,0.6089532917699927,0.018619289340101562,0.0476190476190476
4723036000,자양면,1191,59.567567567567565,6.635091537860927,26.00650886618683,30.004312480339724,취약,27.328648648648645,우선개선,2.675663831691079,0.06947028963869815,0.1176470588235294
4723055500,남부동,3326,32.56990668941823,35.83954086376199,11.01376328459722,28.48872450795048,취약,25.545808804711015,우선개선,2.942915703239464,0.21383563580286574,0.3164556962025316
4723034000,화북면,2045,38.83110807982655,11.056910569105693,29.16,25.303652055581566,취약,25.30365205558157,우선개선,-3.552713678800501e-15,0.0,0.0219780219780219
